date,market_return
1979-07-17,-0.008657489
1979-07-18,-0.001597554
1979-07-19,-0.001067557
1979-07-20,0.002663203
1979-07-23,-0.002776883
1979-07-24,0.003701991
1979-07-25,0.01131084
1979-07-26,0.0004165544
1979-07-27,0.0005295451
1979-07-30,0.001333765
1979-07-31,0.006790039
1979-08-01,0.003916495
1979-08-02,-0.0002707376
1979-08-03,-0.0007028682
1979-08-06,0.00326463
1979-08-07,0.01406082
1979-08-08,0.003823229
1979-08-09,-0.004213257000000001
1979-08-10,0.009162016
1979-08-13,0.009734557000000001
1979-08-14,0.001419005
1979-08-15,0.007244737
1979-08-16,-0.001690222
1979-08-17,0.002447041
1979-08-20,0.005557356
1979-08-21,0.0002779221
1979-08-22,0.001502364
1979-08-23,-0.003572736
1979-08-24,3.085226e-05
1979-08-27,0.006404201
1979-08-28,-0.0006448014
1979-08-29,-0.0002705412
1979-08-30,-7.043005999999999e-05
1979-08-31,0.003242377
1979-09-04,-0.01691315
1979-09-05,-0.009537183000000001
1979-09-06,0.004090399000000001
1979-09-07,0.007527763000000001
1979-09-10,0.00554502
1979-09-11,-0.006288599000000001
1979-09-12,0.003356747
1979-09-13,5.406725999999999e-05
1979-09-14,0.009241186
1979-09-17,-3.666767e-06
1979-09-18,-0.006835398
1979-09-19,0.002913642
1979-09-20,0.02126476
1979-09-21,-0.001185115
1979-09-24,-0.008043167
1979-09-25,0.00113074
1979-09-26,0.002113692
1979-09-27,0.001905962
1979-09-28,-0.008235907
1979-10-01,-0.006513234000000001
1979-10-02,0.009267264
1979-10-03,0.000458117
1979-10-04,0.005595294000000001
1979-10-05,0.009585287000000001
1979-10-08,-0.01191151
1979-10-09,-0.03054461
1979-10-10,-0.01168401
1979-10-11,-0.002726363
1979-10-12,-0.005155008
1979-10-15,-0.01047546
1979-10-16,-0.001934333
1979-10-17,0.002475989
1979-10-18,0.001707704
1979-10-19,-0.02025237
1979-10-22,-0.008506903
1979-10-23,-0.003563658
1979-10-24,0.001485211
1979-10-25,-0.003685632
1979-10-26,0.005619122000000001
1979-10-29,0.002072789
1979-10-30,0.01995059
1979-10-31,-0.007744906
1979-11-01,0.008091803
1979-11-02,0.001259793
1979-11-05,-0.006589734000000001
1979-11-06,-0.006000058
1979-11-07,-0.01203164
1979-11-08,0.005379361
1979-11-09,0.01256487
1979-11-12,0.01987783
1979-11-13,-0.005354011000000001
1979-11-14,0.003795984
1979-11-15,0.007342447
1979-11-16,-0.00227947
1979-11-19,0.004283543
1979-11-20,-0.005553347
1979-11-21,0.002416309
1979-11-23,0.007675759000000001
1979-11-26,0.02260357
1979-11-27,-0.003537141
1979-11-28,0.00377656
1979-11-29,0.0006579116
1979-11-30,-0.005807152
1979-12-03,-0.002812907
1979-12-04,0.009160077
1979-12-05,0.004838979
1979-12-06,0.006806826
1979-12-07,-0.004839643
1979-12-10,0.002360096
1979-12-11,-0.002080991
1979-12-12,0.0003313085
1979-12-13,0.001819633
1979-12-14,0.01192088
1979-12-17,0.004320375
1979-12-18,-0.01006648
1979-12-19,-0.000774651
1979-12-20,0.0007186095
1979-12-21,-0.006792512000000001
1979-12-24,0.001506723
1979-12-26,0.001204712
1979-12-27,0.001401818
1979-12-28,-0.0006636473000000001
1979-12-31,0.0001222682
1980-01-02,-0.02001611
1980-01-03,-0.00455832
1980-01-04,0.01230762
1980-01-07,0.003118492
1980-01-08,0.02119564
1980-01-09,-0.0002440084
1980-01-10,0.008331025
1980-01-11,0.0009908008
1980-01-14,0.003512731
1980-01-15,0.007179736000000001
1980-01-16,-0.0009375433
1980-01-17,-0.003359854
1980-01-18,0.003571782
1980-01-21,0.009701101
1980-01-22,-0.005547848
1980-01-23,0.0177475
1980-01-24,0.001653641
1980-01-25,-0.0007650459
1980-01-28,0.01111051
1980-01-29,-0.005979594
1980-01-30,0.01041297
1980-01-31,-0.009091007
1980-02-01,0.00905952
1980-02-04,-0.005178445
1980-02-05,0.002725244
1980-02-06,0.01109363
1980-02-07,0.004464023
1980-02-08,0.01455574
1980-02-11,-0.007285561
1980-02-12,0.007942225
1980-02-13,0.003400968
1980-02-14,-0.01508514
1980-02-15,-0.009370700000000001
1980-02-19,-0.00709625
1980-02-20,0.01678891
1980-02-21,-0.01096404
1980-02-22,-0.00190803
1980-02-25,-0.01336108
1980-02-26,0.006659148
1980-02-27,-0.01435154
1980-02-28,0.0002265028
1980-02-29,0.01137186
1980-03-03,-0.009853413
1980-03-04,0.003319079
1980-03-05,-0.01468742
1980-03-06,-0.02209488
1980-03-07,-0.01697446
1980-03-10,-0.002587804
1980-03-11,0.01251193
1980-03-12,-0.008434644
1980-03-13,-0.01168403
1980-03-14,-0.001877514
1980-03-17,-0.02984219
1980-03-18,0.01874103
1980-03-19,0.002136689
1980-03-20,-0.01231184
1980-03-21,-0.006841609
1980-03-24,-0.0297822
1980-03-25,-0.0008116953000000001
1980-03-26,-0.005208218000000001
1980-03-27,-0.003923995
1980-03-28,0.02513332
1980-03-31,0.01472821
1980-04-01,0.0001304926
1980-04-02,0.005747547
1980-04-03,-0.00498118
1980-04-07,-0.01947149
1980-04-08,0.01094662
1980-04-09,0.02033706
1980-04-10,0.007344116
1980-04-11,-0.003076496
1980-04-14,-0.009335317000000001
1980-04-15,-0.001177163
1980-04-16,-0.01176509
1980-04-17,-0.004290409
1980-04-18,-0.005097641
1980-04-21,-0.007212765
1980-04-22,0.03656117
1980-04-23,0.002605947
1980-04-24,0.007044945
1980-04-25,0.007916211000000001
1980-04-28,0.00432379
1980-04-29,0.002753583
1980-04-30,0.00388511
1980-05-01,-0.007212848000000001
1980-05-02,0.001449748
1980-05-05,0.008683261000000001
1980-05-06,-0.0001542827
1980-05-07,0.009074366
1980-05-08,-0.008942589
1980-05-09,-0.01295009
1980-05-12,0.0009782768
1980-05-13,0.0138434
1980-05-14,0.005543095
1980-05-15,0.0007772418000000001
1980-05-16,0.004352098
1980-05-19,0.003214868
1980-05-20,-0.0005653474
1980-05-21,0.001288833
1980-05-22,0.01293816
1980-05-23,0.01697277
1980-05-27,0.006755252000000001
1980-05-28,0.006867355
1980-05-29,-0.01680082
1980-05-30,0.009081598
1980-06-02,-0.003407226
1980-06-03,-0.002540232
1980-06-04,0.01958086
1980-06-05,0.001188679
1980-06-06,0.003865348
1980-06-09,0.004509593
1980-06-10,0.009113306
1980-06-11,0.01194779
1980-06-12,-0.003375204
1980-06-13,0.001614585
1980-06-16,0.002585364
1980-06-17,-0.0005755582000000001
1980-06-18,0.002061498
1980-06-19,-0.01486426
1980-06-20,-0.004571803
1980-06-23,0.004504013
1980-06-24,0.005874419000000001
1980-06-25,0.01370168
1980-06-26,-0.003975193
1980-06-27,-0.001851458
1980-06-30,-0.01553964
1980-07-01,0.006140878000000001
1980-07-02,0.00651047
1980-07-03,0.01521075
1980-07-07,0.007218351
1980-07-08,-0.003462146
1980-07-09,0.001043423
1980-07-10,-0.008783285
1980-07-11,0.007663751000000001
1980-07-14,0.01915059
1980-07-15,-0.006188460000000001
1980-07-16,0.002450527
1980-07-17,0.01604478
1980-07-18,0.004035841
1980-07-21,0.003831166
1980-07-22,-0.002517232
1980-07-23,-0.001927675
1980-07-24,-0.001456466
1980-07-25,-0.008205829000000001
1980-07-28,0.006344454
1980-07-29,0.008228855
1980-07-30,-0.0007677313
1980-07-31,-0.004028872
1980-08-01,-0.003210983
1980-08-04,-0.001546253
1980-08-05,-0.001429246
1980-08-06,0.006886440000000001
1980-08-07,0.01658133
1980-08-08,0.002103775
1980-08-11,0.01029443
1980-08-12,-0.008179992
1980-08-13,-0.003977457
1980-08-14,0.016197
1980-08-15,0.003677724
1980-08-18,-0.0181801
1980-08-19,-0.006168232
1980-08-20,0.009734931
1980-08-21,0.01406074
1980-08-22,0.004431898
1980-08-25,-0.005616655000000001
1980-08-26,-0.002276924
1980-08-27,-0.0108595
1980-08-28,-0.01146006
1980-08-29,0.003052998
1980-09-02,0.01141833
1980-09-03,0.01945583
1980-09-04,-0.005816875
1980-09-05,-0.004110098
1980-09-08,-0.01279795
1980-09-09,0.006982110000000001
1980-09-10,0.006345187
1980-09-11,0.006649756000000001
1980-09-12,-0.0009596106
1980-09-15,0.001048563
1980-09-16,0.00953668
1980-09-17,0.01693806
1980-09-18,-0.003899335
1980-09-19,0.006614576
1980-09-22,0.009214524
1980-09-23,-0.007239424
1980-09-24,0.007481814000000001
1980-09-25,-0.01298478
1980-09-26,-0.01874343
1980-09-29,-0.02194098
1980-09-30,0.01565068
